date,set_1,set_2,set_3,set_4,set_5
9/1/15,13.87,21.73,21.68,42.72,0.01
9/5/15,13.44,18.76,23.09,23.09,21.62
9/6/15,9.74,20.05,24.30,26.17,19.74
9/7/15,11.99,27.74,60.26,0.01,0.01
9/10/15,9.51,20.17,22.48,25.39,22.45
9/14/15,8.02,23.49,24.17,44.32,0.00
9/16/15,9.63,20.04,21.12,25.80,23.40
9/21/15,9.31,20.13,22.85,24.97,22.75
9/22/15,9.07,19.69,24.39,27.12,19.74
9/23/15,9.64,21.01,23.60,25.85,19.90
9/24/15,8.38,18.41,22.23,29.81,21.17
9/26/15,8.39,21.62,23.05,26.00,20.93
9/28/15,8.90,18.96,26.45,23.26,22.44
9/29/15,8.87,20.91,24.48,23.04,22.71
9/30/15,9.09,21.47,23.82,25.35,20.28
